storage_id,storage_name,location,temperature,humidity,co2,ethylene,power_status,cooling_status,capacity,occupied,last_updated
STR0038,Cold Room B,Thanjavur,5.5,86.5,0.56,0.743,ON,Running,3000,2399,2026-06-02 12:49:00
STR0039,Ambient Shed 1,Madurai,28.9,59.6,2.49,0.73,ON,Idle,2000,1074,2026-06-24 18:42:00
STR0040,Ambient Shed 2,Dindigul,30.8,47.4,1.38,0.235,ON,Idle,2000,1510,2026-06-12 04:47:00
STR0041,Ambient Shed 2,Trichy,25.0,42.3,5.19,1.423,ON,Idle,500,152,2026-02-17 13:28:00
STR0042,Cold Room D,Thanjavur,3.1,83.3,0.52,1.774,ON,Running,1500,1311,2026-01-04 09:26:00
STR0043,Ambient Shed 2,Dindigul,30.1,54.0,5.46,0.777,ON,Idle,5000,2485,2026-02-05 08:19:00
STR0044,Ripening Chamber 2,Theni,15.2,86.7,1.54,0.959,ON,Running,1500,594,2026-03-05 23:40:00
STR0045,Ventilated Store 1,Vellore,28.6,51.4,0.77,0.022,ON,Running,3000,1489,2026-03-26 14:21:00
STR0046,Ambient Shed 2,Vellore,21.9,48.0,5.21,0.643,ON,Idle,2000,1911,2026-03-16 23:44:00
STR0047,Ventilated Store 1,Vellore,30.9,48.1,1.56,2.515,ON,Running,3000,1068,2026-05-20 05:43:00
STR0048,Cold Room D,Madurai,7.5,88.0,3.9,1.403,ON,Running,5000,1270,2026-04-15 21:31:00
STR0049,Cold Room C,Chennai,0.4,90.6,3.94,2.525,ON,Running,3000,1721,2026-04-13 17:32:00
STR0050,Ambient Shed 2,Thanjavur,20.5,64.2,3.87,2.599,ON,Idle,500,143,2026-03-05 21:42:00
STR0051,Ambient Shed 1,Coimbatore,29.1,41.1,5.41,2.168,ON,Idle,1500,1430,2026-04-21 03:00:00
STR0052,Cold Room B,Chennai,0.2,91.7,3.08,2.201,ON,Running,1500,758,2026-07-17 21:37:00
STR0053,Cold Room D,Coimbatore,1.4,82.3,0.6,1.331,OFF,Stopped,500,424,2026-07-06 04:22:00
STR0054,Ripening Chamber 2,Trichy,17.6,87.1,2.67,1.524,ON,Running,5000,2765,2026-01-18 09:02:00
STR0055,Cold Room B,Madurai,6.5,90.4,3.73,0.526,OFF,Stopped,1000,602,2026-05-22 05:21:00
STR0056,Cold Room D,Erode,7.6,85.0,2.25,0.59,ON,Running,2000,1017,2026-07-08 19:56:00
STR0057,Ripening Chamber 1,Theni,18.7,88.9,3.88,0.659,ON,Running,500,325,2026-05-18 05:23:00
STR0058,Ambient Shed 1,Salem,26.4,46.6,4.75,1.689,ON,Idle,3000,1509,2026-04-11 18:07:00
STR0059,Ambient Shed 1,Trichy,31.8,55.4,4.48,2.259,ON,Idle,3000,1981,2026-06-22 04:20:00
STR0060,Cold Room B,Salem,1.1,84.4,3.82,1.635,ON,Running,1000,648,2026-04-19 05:31:00
STR0061,Cold Room D,Coimbatore,3.5,88.4,0.8,1.007,ON,Running,500,438,2026-01-03 15:08:00
STR0062,Ripening Chamber 1,Erode,21.7,90.1,2.74,2.191,ON,Running,2000,1162,2026-01-22 18:01:00
STR0063,Ripening Chamber 1,Chennai,14.3,87.2,1.61,2.498,ON,Running,2000,1258,2026-01-29 18:07:00
STR0064,Ripening Chamber 2,Thanjavur,20.6,88.7,4.53,0.133,ON,Running,3000,1111,2026-04-19 03:47:00
STR0065,Ripening Chamber 1,Chennai,21.0,85.3,1.47,2.759,ON,Running,500,402,2026-03-02 06:51:00
STR0066,Blast Freezer 1,Trichy,6.6,89.9,2.37,1.972,ON,Running,1000,828,2026-05-26 11:34:00
STR0067,Ripening Chamber 2,Vellore,18.3,88.2,3.88,0.926,ON,Running,3000,2906,2026-06-23 03:08:00
STR0068,Ambient Shed 2,Madurai,33.9,61.7,0.72,2.771,ON,Idle,5000,2256,2026-03-05 21:25:00
STR0069,Ventilated Store 1,Coimbatore,28.1,46.7,2.3,1.446,ON,Running,500,257,2026-07-11 08:44:00
STR0070,Ambient Shed 1,Theni,33.3,48.2,0.04,2.477,ON,Idle,5000,4791,2026-06-12 21:44:00
STR0071,Ambient Shed 1,Dindigul,31.1,49.9,5.33,2.64,ON,Idle,1500,1269,2026-03-28 17:36:00
STR0072,Cold Room C,Vellore,6.5,92.2,4.92,2.439,ON,Running,5000,4057,2026-04-28 00:07:00
STR0073,Cold Room C,Theni,2.6,94.9,2.37,3.186,ON,Running,5000,2177,2026-03-12 02:41:00
STR0074,Ambient Shed 1,Chennai,21.2,56.6,3.58,0.166,ON,Idle,5000,3728,2026-03-01 13:41:00
STR0075,Cold Room B,Dindigul,-2.0,88.2,0.76,0.724,ON,Running,500,103,2026-03-29 03:55:00
STR0076,Ambient Shed 2,Coimbatore,26.7,45.7,0.52,2.579,ON,Idle,1500,1331,2026-02-05 12:49:00
STR0077,Cold Room C,Coimbatore,-1.3,89.3,3.37,0.525,ON,Running,1000,690,2026-02-08 13:39:00
STR0078,Ventilated Store 1,Salem,21.2,42.5,4.15,1.887,ON,Running,2000,891,2026-02-05 07:17:00
STR0079,Cold Room B,Salem,3.5,89.8,3.35,2.493,ON,Running,5000,4416,2026-02-22 16:38:00
STR0080,Cold Room D,Salem,5.5,85.8,0.33,2.873,OFF,Stopped,2000,1002,2026-03-03 15:40:00
STR0081,Blast Freezer 1,Dindigul,3.3,94.7,5.43,2.989,ON,Running,3000,1585,2026-05-20 21:11:00
STR0082,Ventilated Store 1,Dindigul,20.2,41.7,1.46,0.127,ON,Running,2000,1190,2026-06-10 22:32:00
STR0083,Ambient Shed 2,Erode,29.8,42.1,2.97,1.971,ON,Idle,1500,392,2026-02-22 04:34:00
STR0084,Ambient Shed 1,Erode,28.2,59.1,3.58,2.058,ON,Idle,2000,1539,2026-03-03 01:15:00
STR0085,Cold Room B,Erode,-0.8,90.0,0.33,2.131,ON,Running,1000,293,2026-07-01 04:44:00
STR0086,Cold Room A,Coimbatore,3.0,86.5,2.86,2.632,ON,Running,1500,449,2026-07-19 08:46:00
STR0087,Cold Room B,Madurai,1.4,87.6,2.9,0.841,OFF,Stopped,5000,1301,2026-04-27 16:23:00
STR0088,Cold Room A,Theni,6.6,84.2,0.89,2.475,ON,Running,5000,3819,2026-02-28 23:32:00
STR0089,Cold Room A,Madurai,6.6,82.2,0.28,1.165,OFF,Stopped,1000,926,2026-01-10 17:51:00
STR0090,Ambient Shed 2,Salem,24.5,50.4,3.97,0.868,ON,Idle,1500,440,2026-06-22 01:11:00
STR0091,Ripening Chamber 1,Thanjavur,21.9,94.5,0.41,1.488,ON,Running,1500,683,2026-05-22 14:00:00
STR0092,Ambient Shed 1,Salem,24.1,59.6,4.08,0.776,ON,Idle,2000,1957,2026-07-18 06:46:00
STR0093,Cold Room D,Salem,-0.5,94.1,0.16,1.733,ON,Running,5000,4421,2026-03-27 00:48:00
STR0094,Ambient Shed 2,Chennai,21.5,53.2,1.33,1.574,ON,Idle,1000,755,2026-01-24 01:58:00
STR0095,Ripening Chamber 1,Thanjavur,17.3,94.0,2.54,2.393,ON,Running,3000,912,2026-04-11 02:37:00
STR0096,Blast Freezer 1,Madurai,2.3,94.5,1.33,0.835,ON,Running,2000,1493,2026-07-08 10:20:00
STR0097,Ventilated Store 1,Chennai,23.3,63.6,0.77,2.464,ON,Running,500,164,2026-04-30 10:26:00
STR0098,Cold Room B,Thanjavur,1.6,92.0,2.5,1.483,ON,Running,500,161,2026-06-25 09:52:00
STR0099,Blast Freezer 1,Madurai,0.2,93.1,0.84,2.276,OFF,Stopped,2000,1201,2026-06-23 09:16:00
STR0100,Cold Room C,Madurai,7.5,93.1,3.07,1.76,ON,Running,500,414,2026-02-05 03:00:00
STR0101,Cold Room A,Salem,-0.7,92.7,2.07,2.017,ON,Running,3000,1972,2026-01-20 00:04:00
STR0102,Ripening Chamber 1,Theni,20.5,85.9,4.66,2.588,ON,Running,2000,479,2026-05-27 13:52:00
STR0103,Ambient Shed 2,Theni,20.4,57.1,0.98,0.687,ON,Idle,1500,822,2026-02-08 01:39:00
STR0104,Blast Freezer 1,Vellore,0.5,85.8,2.28,1.762,ON,Running,1500,748,2026-04-18 06:41:00
STR0105,Cold Room D,Salem,4.3,92.4,4.38,3.166,ON,Running,1500,861,2026-07-20 15:22:00
STR0106,Blast Freezer 1,Thanjavur,1.2,85.5,0.17,1.911,ON,Running,1500,369,2026-05-01 16:22:00
STR0107,Blast Freezer 1,Salem,7.7,83.3,3.62,0.853,ON,Running,5000,1218,2026-02-26 18:54:00
STR0108,Ambient Shed 2,Trichy,33.1,64.8,0.98,0.757,ON,Idle,5000,3721,2026-06-01 00:45:00
STR0109,Ambient Shed 1,Vellore,27.9,54.1,1.06,3.162,ON,Idle,2000,1246,2026-02-14 15:02:00
STR0110,Cold Room B,Madurai,0.3,84.8,2.91,0.002,ON,Running,1000,829,2026-03-29 22:11:00
STR0111,Ambient Shed 1,Madurai,20.3,54.7,5.05,2.478,ON,Idle,1500,1424,2026-04-06 22:42:00
STR0112,Ambient Shed 2,Vellore,21.4,47.5,0.78,0.504,OFF,Stopped,5000,4747,2026-06-16 10:11:00
STR0113,Cold Room D,Vellore,5.9,84.9,3.25,0.561,ON,Running,5000,2149,2026-02-15 23:00:00
STR0114,Blast Freezer 1,Erode,6.5,92.0,3.13,0.583,ON,Running,3000,1117,2026-05-25 03:59:00
STR0115,Ventilated Store 1,Coimbatore,24.6,41.9,1.93,1.022,ON,Running,500,420,2026-06-21 20:46:00
STR0116,Ambient Shed 1,Theni,20.2,45.2,3.82,1.122,ON,Idle,5000,1005,2026-04-09 14:46:00
STR0117,Ambient Shed 2,Coimbatore,32.4,52.3,2.1,1.747,ON,Idle,2000,1630,2026-05-28 20:48:00
STR0118,Ripening Chamber 1,Coimbatore,17.6,93.0,0.21,0.064,ON,Running,500,129,2026-02-13 12:10:00
STR0119,Cold Room B,Thanjavur,7.4,94.7,1.88,3.153,ON,Running,5000,1121,2026-06-17 05:38:00
STR0120,Ambient Shed 2,Coimbatore,20.7,48.3,5.36,1.31,ON,Idle,5000,3106,2026-06-19 09:19:00
